,Gene,Image,MTOC,MTOC leading edge,Non MTOC1,Non MTOC2,Non MTOC3,timepoint
2_86,arhgdia_nocodazole,2,0.7976957429379278,0.7976957429379278,1.644789798996289,1.3268838940172727,2.0648162081560626,5h
2_87,arhgdia_nocodazole,2,0.8900330637772379,0.8900330637772379,1.638969725926248,1.1623634991451852,2.0520796653283973,5h
2_88,arhgdia_nocodazole,2,0.8848957529923333,0.8848957529923333,1.6336196446507116,1.1812053925455988,2.0428365511500903,5h
2_89,arhgdia_nocodazole,2,0.8794323669933837,0.8794323669933837,1.6262972795917663,1.2039717603415308,2.03008489622002,5h
2_90,arhgdia_nocodazole,2,0.8752131941469993,0.8752131941469993,1.617957293542578,1.2228918721257958,2.02072185085569,5h
20_1,arhgdia_nocodazole,20,1.314487345879299,,1.4145143017172244,1.264969719047402,1.2741560665362035,5h
20_2,arhgdia_nocodazole,20,1.300613989325414,,1.3731963016931228,1.300488736587832,1.2905723488602574,5h
20_3,arhgdia_nocodazole,20,1.2886679920477135,,1.3282564189497565,1.3377041893543726,1.304878812550886,5h
20_4,arhgdia_nocodazole,20,1.2732772845132394,,1.3436222134283073,1.373585320294473,1.176358497157557,5h
20_5,arhgdia_nocodazole,20,1.0788349514563105,,1.36201962934239,1.4559590548790402,1.0453489872274544,5h
20_6,arhgdia_nocodazole,20,1.0715525554484087,,1.3735722858260175,1.4437944902040902,1.056354095368469,5h
20_7,arhgdia_nocodazole,20,1.0586890243902438,,1.3261228330991963,1.477974037029155,1.0723975911587582,5h
20_8,arhgdia_nocodazole,20,1.0586890243902438,,1.3261228330991963,1.477974037029155,1.0723975911587582,5h
20_9,arhgdia_nocodazole,20,1.0329825605176066,,1.2938562785563579,1.4971627654691866,1.101219802249329,5h
20_10,arhgdia_nocodazole,20,1.0329825605176066,,1.2938562785563579,1.4971627654691866,1.101219802249329,5h
20_11,arhgdia_nocodazole,20,1.0082020759236408,,1.325640988933904,1.4696305701179553,1.129661903102126,5h
20_12,arhgdia_nocodazole,20,0.994380212621255,,1.2772784690662524,1.501723089397932,1.1455940051606517,5h
20_13,arhgdia_nocodazole,20,0.8187444739168876,,1.2247597213649588,1.5363808221382027,1.3232352100600169,5h
